Title,Name,Date,Medium,Dimensions,Acquisition Date,Department,Classification,Height (cm),Width (cm),,
"Weissenhof Housing Colony Master Plan, ""The Dwelling,"" Stuttgart, Germany",Ludwig Mies van der Rohe,1926,Pencil and colored pencil on paper,"41 1/2 x 59"" (105.4 x 149.9 cm)",,Architecture & Design,Mies van der Rohe Archive,105.4,149.9,,
Reclining Chair without Arms (Elevation sketch with figure),Ludwig Mies van der Rohe,1926,Pencil on paper,"6 3/8 x 8 1/6"" (16.2 x 20.4 cm.)",11/6/74,Architecture & Design,Mies van der Rohe Archive,16.1925,20.4788,,
Reclining Chair without Arms. Chair with Arms. (Elevation sketches),Ludwig Mies van der Rohe,1926,Pencil on paper,"5 13/16 x 11 1/4"" (14.8 x 28.6 cm)",11/6/74,Architecture & Design,Mies van der Rohe Archive,14.7638,28.5751,,
Chairs (Elevation sketches),Ludwig Mies van der Rohe,1926,Pencil on tracing paper,"17 5/16 x 21 1/2"" (44 x 54.6 cm)",11/6/74,Architecture & Design,Mies van der Rohe Archive,43.9738,54.6101,,
"Chair with Arms (Two elevation sketches, numerous detail sketches. [versions of Barcelona Chair].)",Ludwig Mies van der Rohe,1926,Pencil on paper,"8 1/4 x 13"" (21 x 33 cm)",11/6/74,Architecture & Design,Mies van der Rohe Archive,20.955,33.0201,,
Lounge Chair without Arms. Chair without Arms. Chair with Arms. (Five elevation sketches; two elevation sketches; one elevation sketch.),Ludwig Mies van der Rohe,1926,Pencil on paper,"8 1/4 x 12 15/16"" (21 x 32.9 cm)",11/6/74,Architecture & Design,Mies van der Rohe Archive,20.955,32.8613,,
Adjustable Day Bed (Elevation sketches),Ludwig Mies van der Rohe,1926,Pencil on paper,"8 1/4 x 11 11/16"" (21 x 29.7 cm)",11/6/74,Architecture & Design,Mies van der Rohe Archive,20.955,29.6863,,
Untitled,Ludwig Mies van der Rohe,1926,,,11/6/74,Architecture & Design,Mies van der Rohe Archive,,,,
Reclining Chair without Arms (Four elevation sketches),Ludwig Mies van der Rohe,1926,Colored pencil on paper,"12 1/16 x 8 1/4"" (30.6 x 21 cm)",11/6/74,Architecture & Design,Mies van der Rohe Archive,30.6388,20.955,,
Reclining Chair without Arms (Elevation sketch),Ludwig Mies van der Rohe,1926,Pencil on paper,"8 5/16 x 11 11/16"" (21.1 x 29.7 cm)",11/6/74,Architecture & Design,Mies van der Rohe Archive,21.1138,29.6863,,
Reclining Chair without Arms (Elevation sketch),Ludwig Mies van der Rohe,1926,Pencil on paper,"8 5/16 x 11 11/16"" (21.1 x 29.7 cm)",11/6/74,Architecture & Design,Mies van der Rohe Archive,21.1138,29.6863,,
Lounge Chair without Arms (Three elevation sketches),Ludwig Mies van der Rohe,1926,Pencil on paper,"11 1/4 x 8 7/8"" (63 lb., 22.5 cm)",11/6/74,Architecture & Design,Mies van der Rohe Archive,11.25001687,22.5425,,
Lounge Chair without Arms (Elevation sketch),Ludwig Mies van der Rohe,1926,Pencil on paper,"11 3/16 x 8 7/8"" (28.4 x 22.5 cm)",11/6/74,Architecture & Design,Mies van der Rohe Archive,28.4163,22.5425,,
Chair without Arms (Three elevation sketches),Ludwig Mies van der Rohe,1926,Pencil on paper,"11 1/4 x 8 7/8"" (28.6 x 22.5 cm)",11/6/74,Architecture & Design,Mies van der Rohe Archive,28.5751,22.5425,,
Reclining Chair without Arms (Three elevation sketches),Ludwig Mies van der Rohe,1926,Pencil on paper,"11 1/4 x 8 7/8"" (28.6 x 22.5 cm)",11/6/74,Architecture & Design,Mies van der Rohe Archive,28.5751,22.5425,,
Lounge Chair with Arms,Ludwig Mies van der Rohe,1926,Pencil on paper,"8 5/8 x 11 1/8"" (21.9 x 28.3 cm)",11/6/74,Architecture & Design,Mies van der Rohe Archive,21.9075,28.2576,,
Lounge Chair with and without Arms (Eight elevation sketches),Ludwig Mies van der Rohe,1926,Pencil on paper,"8 7/8 x 11 1/4"" (22.5 x 28.6 cm)",11/6/74,Architecture & Design,Mies van der Rohe Archive,22.5425,28.5751,,
Lounge and Reclining Chairs without Arms (Elevation sketches),Ludwig Mies van der Rohe,1926,Pencil on paper,"8 1/4 x 11 5/8"" (21 x 29.5 cm)",11/6/74,Architecture & Design,Mies van der Rohe Archive,20.955,29.5276,,
Reclining Chair without Arms (Two elevation sketches; one unidentified sketch),Ludwig Mies van der Rohe,1926,Pencil on paper,"8 1/4 x 11 11/16"" (21 x 29.7 cm)",11/6/74,Architecture & Design,Mies van der Rohe Archive,20.955,29.6863,,
Reclining Chair without Arms (Elevation sketch with seated figure),Ludwig Mies van der Rohe,1926,Pencil on paper,"8 5/16 x 11 11/16"" (21.1 x 29.7 cm)",11/6/74,Architecture & Design,Mies van der Rohe Archive,21.1138,29.6863,,
Reclining Chair without Arms (Three elevation sketches [similar to MR 110]),Ludwig Mies van der Rohe,1926,Pencil on paper,"8 5/16 x 11 11/16"" (21.1 x 29.7 cm)",11/6/74,Architecture & Design,Mies van der Rohe Archive,21.1138,29.6863,,
Reclining Chair without Arms (Elevation sketch),Ludwig Mies van der Rohe,1926,Pencil on paper,"8 7/16 x 11 11/16"" (21.4 x 29.7 cm)",11/6/74,Architecture & Design,Mies van der Rohe Archive,21.4313,29.6863,,
Reclining Chair without Arms (Elevation sketch [similar to MR 110]),Ludwig Mies van der Rohe,1926,Pencil on paper,"8 5/16 x 11 5/8"" (21.1 x 29.5 cm)",11/6/74,Architecture & Design,Mies van der Rohe Archive,21.1138,29.5276,,
Reclining Chair without Arms (Numerous elevation sketches),Ludwig Mies van der Rohe,1926,Pencil on paper,"15 3/8 x 11 3/16"" (39.1 x 28.4 cm)",11/6/74,Architecture & Design,Mies van der Rohe Archive,39.0526,28.4163,,
Chair Frame Detail (Two elevation sketches),Ludwig Mies van der Rohe,1926,Pencil on paper,"2 15/16 x 4 1/8"" (7.5 x 10.5 cm)",11/6/74,Architecture & Design,Mies van der Rohe Archive,7.4613,10.4775,,
Chair with Arms (Two elevation sketches),Ludwig Mies van der Rohe,1926,Pencil on graph paper,"4 5/8 x 3 1/16"" (11.7 x 7.8 cm)",11/6/74,Architecture & Design,Mies van der Rohe Archive,11.7475,7.7788,,
Stool (Two elevation sketches),Ludwig Mies van der Rohe,1926,Pencil on paper,"2 15/16 x 4 1/8"" (7.5 x 10.5 cm)",11/6/74,Architecture & Design,Mies van der Rohe Archive,7.4613,10.4775,,
Lounge Chair with Arms (Elevation sketch),Ludwig Mies van der Rohe,1926,Pencil on paper,"2 15/16 x 4 1/8"" (7.5 x 10.5 cm)",11/6/74,Architecture & Design,Mies van der Rohe Archive,7.4613,10.4775,,
Chair with Arms (Elevation sketch),Ludwig Mies van der Rohe,1926,Pencil on paper,"2 15/16 x 4 1/8"" (7.5 x 10.5 cm)",11/6/74,Architecture & Design,Mies van der Rohe Archive,7.4613,10.4775,,
Lounge Chair with Arms (Six elevation sketches),Ludwig Mies van der Rohe,1926,Pencil on paper,"4 1/8 x 5 7/8"" (10.5 x 14.9 cm)",11/6/74,Architecture & Design,Mies van der Rohe Archive,10.4775,14.9225,,
Lounge Chair with and without Arms (Elevation sketches),Ludwig Mies van der Rohe,1926,Pencil on paper,"8 15/16 x 6"" (22.7 x 15.2 cm)",11/6/74,Architecture & Design,Mies van der Rohe Archive,22.7013,15.24,,
Lounge Chair without Arms (Two elevation sketches),Ludwig Mies van der Rohe,1926,Pencil and colored pencil on paper,"6 1/2 x 8 5/16"" (16.5 x 21.1 cm)",11/6/74,Architecture & Design,Mies van der Rohe Archive,16.51,21.1138,,
"Lounge Chair with Rocker without Arm, with Figure (Perspective sketch)",Ludwig Mies van der Rohe,1926,Pencil and colored pencil on paper,"8 5/16 x 11 5/8"" (21.1 x 29.5 cm)",11/6/74,Architecture & Design,Mies van der Rohe Archive,21.1138,29.5276,,
MR 10 Chair (Perspective sketch),Ludwig Mies van der Rohe,1926,Pencil on paper,"11 1/4 x 8 11/16"" (28.6 x 22.1 cm)",11/6/74,Architecture & Design,Mies van der Rohe Archive,28.5751,22.0663,,
Lounge Chair with Arms (Elevation sketch),Ludwig Mies van der Rohe,1926,Pencil on paper,"10 5/8 x 8 1/4"" (27 x 21 cm)",11/6/74,Architecture & Design,Mies van der Rohe Archive,26.9876,20.955,,
Chair Frame Detail (Elevation sketch),Ludwig Mies van der Rohe,1926,Pencil on paper,"11 1/4 x 8 7/8"" (28.6 x 22.5 cm)",11/6/74,Architecture & Design,Mies van der Rohe Archive,28.5751,22.5425,,
Lounge Chairs with Figures (Two elevation sketches),Ludwig Mies van der Rohe,1926,Pencil on paper,"8 7/8 x 11 1/4"" (22.5 x 28.6 cm)",11/6/74,Architecture & Design,Mies van der Rohe Archive,22.5425,28.5751,,
Lounge Chair with Arms (Perspective sketch; elevation sketches. Frame details.),Ludwig Mies van der Rohe,1926,Pencil on paper,"8 7/8 x 11 1/4"" (22.5 x 28.6 cm)",11/6/74,Architecture & Design,Mies van der Rohe Archive,22.5425,28.5751,,
Lounge Chair with Arms (Perspective sketch; two elevation sketches),Ludwig Mies van der Rohe,1926,Pencil on paper,"11 1/4 x 8 7/8"" (28.6 x 22.5 cm)",11/6/74,Architecture & Design,Mies van der Rohe Archive,28.5751,22.5425,,
Lounge Chair with Arms (Two elevation sketches),Ludwig Mies van der Rohe,1926,Pencil on paper,"11 1/4 x 8 7/8"" (28.6 x 22.5 cm)",11/6/74,Architecture & Design,Mies van der Rohe Archive,28.5751,22.5425,,
Lounge Chair with Arms (Perspective sketch and six elevation sketches),Ludwig Mies van der Rohe,1926,Pencil on paper,"8 7/8 x 11 1/4"" (22.5 x 28.6 cm)",11/6/74,Architecture & Design,Mies van der Rohe Archive,22.5425,28.5751,,
Lounge Chair with Arms (Perspective sketch and three elevation sketches),Ludwig Mies van der Rohe,1926,Pencil on paper,"8 7/8 x 11 1/4"" (22.5 x 28.6 cm)",11/6/74,Architecture & Design,Mies van der Rohe Archive,22.5425,28.5751,,
Reclining Chair without Arms. Lounge Chair with Arms. (Elevation sketches),Ludwig Mies van der Rohe,1926,Pencil on paper,"11 1/4 x 8 7/8"" (28.6 x 22.5 cm)",11/6/74,Architecture & Design,Mies van der Rohe Archive,28.5751,22.5,,
Lounge Chair with Arms. Lounge Chair without Arms. (Elevation sketches),Ludwig Mies van der Rohe,1926,Pencil on paper,"11 1/4 x 8 7/8"" (28.5 x 22.5 cm)",11/6/74,Architecture & Design,Mies van der Rohe Archive,28.5,22.5,,
Lounge Chair with Arms (Elevation sketch),Ludwig Mies van der Rohe,1926,Pencil on paper,"11 1/4 x 8 7/8"" (28.5 x 22.5 cm)",11/6/74,Architecture & Design,Mies van der Rohe Archive,28.5,22.5,,
Lounge Chair with Arms (Elevation sketch),Ludwig Mies van der Rohe,1926,Pencil on paper,"11 1/4 x 8 7/8"" (28.5 x 22.5 cm)",11/6/74,Architecture & Design,Mies van der Rohe Archive,28.5,22.5,,
"Lounge Chair with Arms. Table. Unidentified detail sketches. (Elevation sketches, plan and perspective sketch)",Ludwig Mies van der Rohe,1926,Pencil on paper,"12 15/16 x 8 5/16"" (32.8 x 21.1 cm)",11/6/74,Architecture & Design,Mies van der Rohe Archive,32.8,21.1,,
Lounge Chair with Arms. Lounge Chair without Arms. (Perspective and detail sketches),Ludwig Mies van der Rohe,1926,Pencil on paper,"8 5/16 x 13"" (21.1 x 33 cm)",11/6/74,Architecture & Design,Mies van der Rohe Archive,21.1,33.0201,,
"Chair with Arms. Chair without Arms. (Perspective sketches, elevation sketch and detail elevation sketch)",Ludwig Mies van der Rohe,1926,Pencil on paper,"11 1/4 x 8 7/8"" (28.5 x 22.5 cm)",11/6/74,Architecture & Design,Mies van der Rohe Archive,28.5,22.5,,
Chair with Arms and Rocker. Table. Two unidentified elevation sketches. (Elevation sketches),Ludwig Mies van der Rohe,1926,Pencil on paper,"8 5/16 x 11 11/16"" (21.1 x 29.7 cm)",11/6/74,Architecture & Design,Mies van der Rohe Archive,21.1,29.7,,
Lounge Chair with Arms. Figure with prehistoric bird.,Ludwig Mies van der Rohe,1926,Pencil on paper,"12 15/16 x 8 1/4"" (32.8 x 20.9 cm)",11/6/74,Architecture & Design,Mies van der Rohe Archive,32.8,20.9,,
Lounge Chair with Arms (Perspective sketch),Ludwig Mies van der Rohe,1926,Pencil on paper,"4 1/16 x 6 7/8"" (10.3 x 17.5 cm)",11/6/74,Architecture & Design,Mies van der Rohe Archive,10.3188,17.4625,,
Lounge Chairs without Arms (Perspective and elevation sketches),Ludwig Mies van der Rohe,1926,Printed drawings with pencil markings on paper,"8 5/16 x 11 11/16"" (21.1 x 29.7 cm)",11/6/74,Architecture & Design,Mies van der Rohe Archive,21.1138,29.6863,,
Chair without Arms (Elevation sketch),Ludwig Mies van der Rohe,1926,Pencil on paper,"5 3/8 x 8 7/8"" (13.7 x 22.5 cm)",11/6/74,Architecture & Design,Mies van der Rohe Archive,13.6525,22.5425,,
Lounge Chair without Arms (Elevation sketches),Ludwig Mies van der Rohe,1926,Pencil and colored pencil on paper,"6 1/4 x 8 11/16"" (15.9 x 22.1 cm)",11/6/74,Architecture & Design,Mies van der Rohe Archive,15.875,22.0663,,
"Lounge Chair with Arms (Two elevation sketches, two detail sketches)",Ludwig Mies van der Rohe,1926,Pencil and colored pencil on paper,"11 1/4 x 8 7/8"" (28.6 x 22.5 cm)",11/6/74,Architecture & Design,Mies van der Rohe Archive,28.5751,22.5425,,
"Lounge Chair with Arms (Two elevation sketches, one detail sketch)",Ludwig Mies van der Rohe,1926,Pencil on paper,"11 1/4 x 8 7/8"" (28.6 x 22.5 cm)",11/6/74,Architecture & Design,Mies van der Rohe Archive,28.5751,22.5425,,
Lounge Chair without Arms (Two elevation sketches),Ludwig Mies van der Rohe,1926,Pencil on paper,"8 7/8 x 11 3/16"" (22.5 x 28.4 cm)",11/6/74,Architecture & Design,Mies van der Rohe Archive,22.5425,28.4163,,
Lounge Chair with Arms (Elevation sketch),Ludwig Mies van der Rohe,1926,Pencil on paper,"11 3/16 x 8 7/8"" (28.4 x 22.5 cm)",11/6/74,Architecture & Design,Mies van der Rohe Archive,28.4163,22.5425,,
Lounge Chair without Arms (Elevation sketch),Ludwig Mies van der Rohe,1926,Pencil on paper,"8 7/8 x 11 3/16"" (22.5 x 28.4 cm)",11/6/74,Architecture & Design,Mies van der Rohe Archive,22.5425,28.4163,,
Lounge Chair with Arms (Elevation sketch),Ludwig Mies van der Rohe,1926,Pencil on paper,"11 1/4 x 8 7/8"" (28.6 x 22.5 cm)",11/6/74,Architecture & Design,Mies van der Rohe Archive,28.5751,22.5425,,
Lounge Chair without Arms. Lounge Chair with Arms. (Elevation sketches),Ludwig Mies van der Rohe,1926,Pencil on paper,"8 5/16 x 11 11/16"" (21.1 x 29.7 cm)",11/6/74,Architecture & Design,Mies van der Rohe Archive,21.1138,29.6863,,
Table. Chair Frame. (Perspective sketch. Six elevation sketches.),Ludwig Mies van der Rohe,1926,Pencil on paper,"8 1/4 x 12 7/8"" (21 x 32.7 cm)",11/6/74,Architecture & Design,Mies van der Rohe Archive,20.955,32.7026,,
Chair without Arms. Barcelona Stool (or MR60). (Seven elevation sketches. Perspective sketch.),Ludwig Mies van der Rohe,1926,Pencil on paper,"8 1/4 x 12 15/16"" (21 x 32.9 cm)",11/6/74,Architecture & Design,Mies van der Rohe Archive,20.955,32.8613,,
"Lounge Chair without Arms (Three elevation sketches, one perspective sketch)",Ludwig Mies van der Rohe,1926,Pencil on paper,"11 3/16 x 8 7/8"" (28.4 x 22.5 cm)",11/6/74,Architecture & Design,Mies van der Rohe Archive,28.4163,22.5425,,
Lounge Chair without Arms (Three elevation sketches),Ludwig Mies van der Rohe,1926,Pencil on paper,"11 1/4 x 8 13/16"" (28.6 x 22.4 cm)",11/6/74,Architecture & Design,Mies van der Rohe Archive,28.5751,22.3838,,
Lounge Chair without Arms (Elevation sketches),Ludwig Mies van der Rohe,1926,Pencil on paper,"11 1/4 x 8 13/16"" (28.6 x 22.4 cm)",11/6/74,Architecture & Design,Mies van der Rohe Archive,28.5751,22.3838,,
Lounge Chair without Arms (Elevation sketches),Ludwig Mies van der Rohe,1926,Pencil on paper,"11 3/16 x 8 7/8"" (28.4 x 22.5 cm)",11/6/74,Architecture & Design,Mies van der Rohe Archive,28.4163,22.5425,,
Reclining Chair without Arms (Elevation sketches),Ludwig Mies van der Rohe,1926,Pencil on paper,"11 1/4 x 8 7/8"" (28.6 x 22.5 cm)",11/6/74,Architecture & Design,Mies van der Rohe Archive,28.5751,22.5425,,
Lounge Chair without Arms (Elevation sketches),Ludwig Mies van der Rohe,1926,Pencil and colored pencil on paper,"11 1/4 x 8 13/16"" (28.6 x 22.4 cm)",11/6/74,Architecture & Design,Mies van der Rohe Archive,28.5751,22.3838,,
Chair Frame Detail Sketches,Ludwig Mies van der Rohe,1926,Pencil on paper,"11 1/4 x 8 13/16"" (28.6 x 22.4 cm)",11/6/74,Architecture & Design,Mies van der Rohe Archive,28.5751,22.3838,,
Chair without Arms (Elevation sketches),Ludwig Mies van der Rohe,1926,Pencil on paper,"8 3/16 x 11 5/8"" (20.8 x 29.5 cm)",11/6/74,Architecture & Design,Mies van der Rohe Archive,20.7963,29.5276,,
Chair without Arms (Elevation sketches),Ludwig Mies van der Rohe,1926,Pencil on paper,"8 7/8 x 11 3/16"" (22.5 x 28.4 cm)",11/6/74,Architecture & Design,Mies van der Rohe Archive,22.5425,28.4163,,
Chair with Arms. Chair without Arms (Elevation sketches),Ludwig Mies van der Rohe,1926,Pencil on paper,"8 7/8 x 11 3/16"" (22.5 x 28.4 cm)",11/6/74,Architecture & Design,Mies van der Rohe Archive,22.5425,28.4163,,
Chair with Arms (similar to MR20) (Elevation sketch),Ludwig Mies van der Rohe,1926,Pencil on paper,"8 5/16 x 11 11/16"" (21.1 x 29.7 cm)",11/6/74,Architecture & Design,Mies van der Rohe Archive,21.1138,29.6863,,
Lounge Chair without Arms. Lounge Chair with Arms. (Elevation sketches),Ludwig Mies van der Rohe,1926,Pencil on paper,"11 11/16 x 8 1/4"" (29.7 x 21 cm)",11/6/74,Architecture & Design,Mies van der Rohe Archive,29.6863,20.955,,
Lounge Chair without Arms (Elevation sketches),Ludwig Mies van der Rohe,1926,Pencil on paper,"8 5/16 x 13"" (21.1 x 33 cm)",11/6/74,Architecture & Design,Mies van der Rohe Archive,21.1138,33.0201,,
Chair with Arms (Elevation sketches),Ludwig Mies van der Rohe,1926,Pencil on paper,"8 1/4 x 12 15/16"" (21 x 32.9 cm)",11/6/74,Architecture & Design,Mies van der Rohe Archive,20.955,32.8613,,
Lounge Chair without Arms (similar to Tugendhat Chair). Chair with and without Arms. (Elevation sketches),Ludwig Mies van der Rohe,1926,Pencil on paper,"8 1/4 x 11"" (21 x 27.9 cm)",11/6/74,Architecture & Design,Mies van der Rohe Archive,20.955,27.9401,,
Reclining Chair without Arms (Elevation sketches),Ludwig Mies van der Rohe,1926,Pencil on paper,"11 1/4 x 8 7/8"" (28.6 x 22.5 cm)",11/6/74,Architecture & Design,Mies van der Rohe Archive,28.5751,22.5425,,
Reclining Chair (Elevation sketches),Ludwig Mies van der Rohe,1926,Pencil on paper,"11 1/4 x 8 13/16"" (28.6 x 22.4 cm)",11/6/74,Architecture & Design,Mies van der Rohe Archive,28.5751,22.3838,,
"Chair with and without Arms (Elevation sketch, perspective sketch)",Ludwig Mies van der Rohe,1926,Pencil on paper,"8 5/16 x 11 11/16"" (21.1 x 29.7 cm)",11/6/74,Architecture & Design,Mies van der Rohe Archive,21.1138,29.6863,,
Chair with Arms. Chair without Arms. Lounge Chair without Arms. (Elevation sketches),Ludwig Mies van der Rohe,1926,Pencil and colored pencil on paper,"12 15/16 x 8 5/16"" (32.9 x 21.1 cm)",11/6/74,Architecture & Design,Mies van der Rohe Archive,32.8613,21.1138,,
Tugendhat Chair. Chair with Arms (similar to Brno chair). Chair with Arms. Chair without Arms. (Elevation sketches),Ludwig Mies van der Rohe,1926,Pencil on paper,"8 5/16 x 11 5/8"" (21.1 x 29.5 cm)",11/6/74,Architecture & Design,Mies van der Rohe Archive,21.1138,29.5276,,
Chair with and without Arms (Elevation sketch),Ludwig Mies van der Rohe,1926,Pencil on paper,"8 5/16 x 11 11/16"" (21.1 x 29.7 cm)",11/6/74,Architecture & Design,Mies van der Rohe Archive,21.1138,29.6863,,
Chair with and without Arms (Elevation sketches),Ludwig Mies van der Rohe,1926,Pencil and colored pencil on paper,"12 15/16 x 8 1/4"" (32.9 x 21 cm)",11/6/74,Architecture & Design,Mies van der Rohe Archive,32.8613,20.955,,
Chair with and without Arms (Elevation sketches),Ludwig Mies van der Rohe,1926,Pencil and colored pencil on paper,"8 1/4 x 12 15/16"" (21 x 32.9 cm)",11/6/74,Architecture & Design,Mies van der Rohe Archive,20.955,32.8613,,
"Chair without Arms (similar to MR60) (Elevation sketches, perspective sketch)",Ludwig Mies van der Rohe,1926,Pencil on paper,"12 15/16 x 8 1/4"" (32.9 x 21 cm)",11/6/74,Architecture & Design,Mies van der Rohe Archive,32.8613,20.955,,
"Lounge Chair with Arms (Elevation sketch, perspective sketch)",Ludwig Mies van der Rohe,1926,Pencil on paper,"8 7/8 x 11 3/16"" (22.5 x 28.4 cm)",11/6/74,Architecture & Design,Mies van der Rohe Archive,22.5425,28.4163,,
Chair with Arms (Perspective sketch),Ludwig Mies van der Rohe,1926,Ink on tracing paper,"8 1/16 x 12 5/8"" (20.5 x 32.1 cm)",11/6/74,Architecture & Design,Mies van der Rohe Archive,20.4788,32.0676,,
Reclining Chair without Arms (Perspective sketch),Ludwig Mies van der Rohe,1926,Ink on tracing paper,"8 x 12 7/8"" (20.3 x 32.7 cm)",11/6/74,Architecture & Design,Mies van der Rohe Archive,20.32,32.7026,,
Reclining Chair without Arms (Perspective sketch),Ludwig Mies van der Rohe,1926,Ink on tracing paper,"8 1/8 x 12 15/16"" (20.6 x 32.9 cm)",11/6/74,Architecture & Design,Mies van der Rohe Archive,20.6375,32.8613,,
Reclining Chair without Arms (Perspective sketch),Ludwig Mies van der Rohe,1926,Ink on tracing paper,"7 7/8 x 12 15/16"" (20 x 32.9 cm)",11/6/74,Architecture & Design,Mies van der Rohe Archive,20.0025,32.8613,,
MR110 Reclining Chair (Perspective sketch),Ludwig Mies van der Rohe,1926,Ink on tracing paper,"7 15/16 x 12 11/16"" (20.2 x 32.2 cm)",11/6/74,Architecture & Design,Mies van der Rohe Archive,20.1613,32.2263,,
Chair with Arms (Perspective sketch),Ludwig Mies van der Rohe,1926,Ink on tracing paper,"8 1/8 x 12 13/16"" (20.6 x 32.5 cm)",11/6/74,Architecture & Design,Mies van der Rohe Archive,20.6375,32.5438,,
Chair with Arms (Perspective sketch),Ludwig Mies van der Rohe,1926,Ink on tracing paper,"8 1/8 x 12 13/16"" (20.6 x 32.5 cm)",11/6/74,Architecture & Design,Mies van der Rohe Archive,20.6375,32.5438,,
Chair with Arms (Perspective sketch),Ludwig Mies van der Rohe,1926,Ink and pencil on tracing paper,"8 1/2 x 13"" (21.6 x 33 cm)",11/6/74,Architecture & Design,Mies van der Rohe Archive,21.59,33.0201,,
Chair with Arms (Perspective sketch),Ludwig Mies van der Rohe,1926,Ink on tracing paper,"8 5/16 x 13 1/8"" (21.1 x 33.3 cm)",11/6/74,Architecture & Design,Mies van der Rohe Archive,21.1138,33.3376,,
Lounge Chair without Arms (Perspective sketch),Ludwig Mies van der Rohe,1926,Pencil on tracing paper,"10 15/16 x 11 1/2"" (27.8 x 29.2 cm)",11/6/74,Architecture & Design,Mies van der Rohe Archive,27.7813,29.2101,,
Lounge Chair without Arms (Perspective sketch),Ludwig Mies van der Rohe,1926,Pencil on tracing paper,"10 7/8 x 11 1/2"" (27.6 x 29.2 cm)",11/6/74,Architecture & Design,Mies van der Rohe Archive,27.6226,29.2101,,
Daybed Frame (Perspective sketches),Ludwig Mies van der Rohe,1926,Pencil on paper,"8 5/16 x 11 11/16"" (21.1 x 29.7 cm)",11/6/74,Architecture & Design,Mies van der Rohe Archive,21.1138,29.6863,,
Interior with Bed (Elevation sketch and three detail sketches),Ludwig Mies van der Rohe,1926,Pencil on paper,"8 5/16 x 11 11/16"" (21.1 x 29.7 cm)",11/6/74,Architecture & Design,Mies van der Rohe Archive,21.1138,29.6863,,
Round Table and Four Chairs (Perspective sketch),Ludwig Mies van der Rohe,1926,Pencil on paper,"8 1/4 x 11 11/16"" (21 x 29.7 cm)",11/6/74,Architecture & Design,Mies van der Rohe Archive,20.955,29.6863,,
Three Chairs (Perspective sketches),Ludwig Mies van der Rohe,1926,Pencil on paper,"8 1/4 x 11 11/16"" (21 x 29.7 cm)",11/6/74,Architecture & Design,Mies van der Rohe Archive,20.955,29.6863,,
Four Chairs (Perspective sketch),Ludwig Mies van der Rohe,1926,Pencil on paper,"8 1/4 x 11 11/16"" (21 x 29.7 cm)",11/6/74,Architecture & Design,Mies van der Rohe Archive,20.955,29.6863,,
"Chair. Table. (Perspective sketch. Plan, elevation sketch. Two unidentified detail sketches.)",Ludwig Mies van der Rohe,1926,Pencil on paper,"8 1/4 x 11 11/16"" (21 x 29.7 cm)",11/6/74,Architecture & Design,Mies van der Rohe Archive,20.955,29.6863,,
Round Table. Chair. (Perspective sketches),Ludwig Mies van der Rohe,1926,Pencil on paper,"8 1/4 x 11 11/16"" (21 x 29.7 cm)",11/6/74,Architecture & Design,Mies van der Rohe Archive,20.955,29.6863,,
Chair (Perspective sketch),Ludwig Mies van der Rohe,1926,Pencil on paper,"8 1/4 x 11 11/16"" (21 x 29.7 cm)",11/6/74,Architecture & Design,Mies van der Rohe Archive,20.955,29.6863,,
Three Chairs (Perspective sketch),Ludwig Mies van der Rohe,1926,Pencil on paper,"8 1/4 x 11 11/16"" (21 x 29.7 cm)",11/6/74,Architecture & Design,Mies van der Rohe Archive,20.955,29.6863,,
Table and Chair (Perspective sketch),Ludwig Mies van der Rohe,1926,Pencil on paper,"8 1/4 x 11 11/16"" (21 x 29.7 cm)",11/6/74,Architecture & Design,Mies van der Rohe Archive,20.955,29.6863,,
Table and Two Chairs (Elevation sketch),Ludwig Mies van der Rohe,1926,Pencil on paper,"8 1/4 x 11 11/16"" (21 x 29.7 cm)",11/6/74,Architecture & Design,Mies van der Rohe Archive,20.955,29.6863,,
Three Chairs (Perspective sketch),Ludwig Mies van der Rohe,1926,Pencil on paper,"8 1/4 x 11 11/16"" (21 x 29.7 cm)",11/6/74,Architecture & Design,Mies van der Rohe Archive,20.955,29.6863,,
Two Unidentified Detail Sketches,Ludwig Mies van der Rohe,1926,Pencil on paper,"2 7/8 x 4 3/16"" (7.3 x 10.6 cm)",11/6/74,Architecture & Design,Mies van der Rohe Archive,7.3025,10.6363,,
Wardrobe (Elevation sketch. Detail perspective sketch.),Ludwig Mies van der Rohe,1926,Pencil on paper,"11 1/4 x 8 13/16"" (28.6 x 22.4 cm)",11/6/74,Architecture & Design,Mies van der Rohe Archive,28.5751,22.3838,,
Untitled,Ludwig Mies van der Rohe,1926,,,11/6/74,Architecture & Design,Mies van der Rohe Archive,,,,
Shelf Unit. Table. (Elevation sketches),Ludwig Mies van der Rohe,1926,Pencil on paper,"8 1/4 x 11 11/16"" (21 x 29.7 cm)",11/6/74,Architecture & Design,Mies van der Rohe Archive,20.955,29.6863,,
Furniture Detail (Perspective and elevation sketches),Ludwig Mies van der Rohe,1926,Pencil on paper,"11 11/16 x 8 1/4"" (29.7 x 21 cm)",11/6/74,Architecture & Design,Mies van der Rohe Archive,29.6863,20.955,,
Furniture Detail,Ludwig Mies van der Rohe,1926,Pencil on paper,"8 1/4 x 11 11/16"" (21 x 29.7 cm)",11/6/74,Architecture & Design,Mies van der Rohe Archive,20.955,29.6863,,
